Object_ID;School_District_Code;School_District_Name;shape
1;417;Jones;POLYGON ((2179296.4149887711 188136.88401059806, 2180635.7528612763 188133.21702317894, 2181925.2279726118 188132.67995077372, 2181925.8300055265 190857.97994636, 2179292.54983902 190844.12006594241, 2179296.4149887711 188136.88401059806))
2;417;Jones;POLYGON ((2176334.2529341131 235982.60393576324, 2176339.2201157808 233024.05014160275, 2178959.1390885264 233035.85097101331, 2178961.3779291958 235984.69809168577, 2176334.2529341131 235982.60393576324))
3;077;Mustang;POLYGON ((2034745.2300103605 137304.9200579375, 2066429.6800927818 137407.3801548481, 2066389.6798446923 147983.62999968231, 2034738.1601426154 147835.10011301935, 2034745.2300103605 137304.9200579375))
4;412;Putnam City;POLYGON ((2068829.2799523622 190284.40005676448, 2068838.63984178 188130.46998143196, 2070068.4100200236 189632.06999661028, 2070157.9498671889 189762.09992027283, 2070470.2199119478 190307.73006260395, 2068829.2799523622 190284.40005676448))
5;420;Millwood;MULTIPOLYGON (((2131098.1698500216 195868.83016085625, 2131125.3499137759 191819.259847939, 2131978.10903503 191826.18503093719, 2131965.8928521127 193243.25995267928, 2134614.4800746143 193261.19987744093, 2134592.029988274 195913.81990027428, 2131098.1698500216 195868.83016085625)), ((2129488.6399326026 188588.38999734819, 2129487.9699864388 187928.36999194324, 2131769.740029186 187945.97002235055, 2132069.7400853634 187948.28989960253, 2131989.1290261149 190547.89592085779, 2129490.5999024361 190521.78015944362, 2129488.6399326026 188588.38999734819)))
6;422;Mid-Del City;POLYGON ((2129497.5099936128 182611.1798389405, 2130724.2201386094 182619.39012435079, 2130726.2700032741 181409.75015518069, 2131032.7300202698 181409.75015518069, 2131072.6699010283 181372.30994135141, 2131100.0199119449 181401.49000109732, 2131471.9000736922 181052.86996343732, 2131581.3299729377 181169.60004493594, 2131782.48016119 180981.02988402545, 2131905.6498623639 180981.02988402545, 2131905.5901511908 180959.81011018157, 2132115.5900592804 180959.81011018157, 2132115.5900592804 181409.75015518069, 2134706.9300209433 181409.75015518069, 2134680.58000803 183939.25985993445, 2135511.3998686969 183939.27003051341, 2135507.0599823594 184321.59013201296, 2135189.3201322705 184324.30994285643, 2135189.3201322705 185331.01987168193, 2137309.959919855 185343.96013452113, 2137242.3701600283 193282.20016351342, 2135887.7390110195 193271.3750539422, 2134614.4800746143 193261.19987744093, 2131965.8928521127 193243.25995267928, 2131978.10903503 191826.18503093719, 2131989.2041571885 190547.89690510929, 2132069.7400853634 187948.28989960253, 2131769.740029186 187945.97002235055, 2129487.9699864388 187928.36999194324, 2129457.0481322706 185792.32800418139, 2129485.2898736894 185290.95991243422, 2129489.741964519 184289.45797844231, 2129497.5099936128 182611.1798389405))
7;424;Crutcho;POLYGON ((2134765.1969647706 175229.16212268174, 2134765.5401399434 174727.69002851844, 2137160.3299697787 174739.43016251922, 2139979.8299081922 177175.19989727437, 2139939.5799886882 180042.07999026775, 2142341.2398835272 180054.11999243498, 2144226.7000233531 182980.85987384617, 2144670.8100275248 183553.65006685257, 2145201.399845615 184164.36997401714, 2146506.0501234382 185666.05988402665, 2146492.6400452703 187239.76014868915, 2147179.2498925328 187990.06015726924, 2146512.0599539429 187988.15104036033, 2146512.4260949492 189332.4229581058, 2147832.2088884413 189353.38485842943, 2147816.4389068633 191652.29102176428, 2147726.0519485325 191651.72999927402, 2145143.6250267774 190580.17013451457, 2144699.0248661041 190286.23994810879, 2141114.09994936 187607.2640068531, 2140229.4780309349 186218.72183643281, 2140115.3988627791 185380.80192434788, 2139941.9999313653 184506.12814876437, 2138837.1169705242 180058.56584969163, 2138812.4959567785 179184.77593059838, 2138073.5820802748 178270.3850428462, 2137749.9380425215 177613.25413927436, 2137185.7620055228 177355.14310693741, 2135614.5810927749 176181.1569378525, 2135201.1150561869 175596.33986601233, 2134765.1969647706 175229.16212268174))
8;426;Oklahoma City;POLYGON ((2181264.8001596034 186248.7601621896, 2181264.6699105203 185583.83006159961, 2181924.4369636923 185587.20800760388, 2181924.8001519442 186248.60990001261, 2181264.8001596034 186248.7601621896))
9;496;McLoud;POLYGON ((2217579.1300898641 146240.75586077571, 2217576.8069317788 144919.17713910341, 2218947.8110795319 144918.19912268221, 2218944.0489479452 146240.10100643337, 2217579.1300898641 146240.75586077571))
10;422;Mid-Del City;POLYGON ((2126930.4741171896 184198.16386967897, 2127414.5889626145 183742.88787736, 2128055.8370239437 182603.70806910098, 2129497.5099936128 182611.1798389405, 2129489.741964519 184289.45797844231, 2128951.7161376923 184289.44912017882, 2129222.937051937 185256.30807885528, 2128943.3368893564 185251.40815426409, 2127227.8009503633 185233.9698689431, 2126946.8300556093 185232.42787726223, 2126932.1578408629 184868.32985219359, 2126931.7939964384 184771.86285351217, 2126931.3369763643 184529.42501819134, 2126930.4741171896 184198.16386967897))
11;422;Mid-Del City;POLYGON ((2129497.5099936128 182611.1798389405, 2129509.7370032817 179964.4079015255, 2129505.7370112687 178635.00800126791, 2132067.808002606 178633.22486835718, 2132069.5370017737 177307.80789977312, 2134762.6198701859 177296.1081200242, 2134765.1969647706 175229.16212268174, 2135201.1150561869 175596.33986601233, 2135614.5810927749 176181.1569378525, 2137185.7620055228 177355.14310693741, 2137749.9380425215 177613.25413927436, 2138073.5820802748 178270.3850428462, 2138812.4959567785 179184.77593059838, 2138837.1169705242 180058.56584969163, 2139941.9999313653 184506.12814876437, 2140115.3988627791 185380.80192434788, 2140229.4780309349 186218.72183643281, 2141114.09994936 187607.2640068531, 2144699.0248661041 190286.23994810879, 2145143.6250267774 190580.17013451457, 2145141.62109378 190907.7751223594, 2145141.1450448632 193273.16606085002, 2137242.3701600283 193282.20016351342, 2137309.959919855 185343.96013452113, 2135189.3201322705 185331.01987168193, 2135189.3201322705 184324.30994285643, 2135507.0599823594 184321.59013201296, 2135511.3998686969 183939.27003051341, 2134680.58000803 183939.25985993445, 2134706.9300209433 181409.75015518069, 2132115.5900592804 181409.75015518069, 2132115.5900592804 180959.81011018157, 2131905.5901511908 180959.81011018157, 2131905.6498623639 180981.02988402545, 2131782.48016119 180981.02988402545, 2131581.3299729377 181169.60004493594, 2131471.9000736922 181052.86996343732, 2131100.0199119449 181401.49000109732, 2131072.6699010283 181372.30994135141, 2131032.7300202698 181409.75015518069, 2130726.2700032741 181409.75015518069, 2130724.2201386094 182619.39012435079, 2129497.5099936128 182611.1798389405))
12;Not Available;Deer Creek;POLYGON ((2067956.3450184464 232610.32688768208, 2068031.2379132807 219273.34601576626, 2070679.8110281974 219269.90704627335, 2071376.3690182716 219269.10488252342, 2072037.251882866 219268.19313894212, 2072369.620968774 219269.02286168933, 2074312.1078974456 219274.25907169282, 2076798.9989210218 219262.73416034877, 2078406.866112113 219233.86709210277, 2078502.04308711 219222.58004118502, 2084230.16614528 219238.84805327654, 2084230.16614528 224582.28192017972, 2085324.9041132778 224605.90490444005, 2087011.678954944 224600.00104485452, 2087013.8429926038 224579.6260856092, 2087527.3419656157 224610.85994702578, 2088259.8450937718 224584.77010418475, 2088822.8518417776 224575.82688060403, 2088843.0650559366 224575.54702551663, 2089221.1410714388 224645.18599385023, 2089164.3951219469 232695.80014193058, 2067956.3450184464 232610.32688768208))
13;071;Piedmont;POLYGON ((2062791.8008856028 207065.85501085222, 2065447.573133111 207058.81991992891, 2065447.0140791088 207399.93997260928, 2062791.8008856028 207416.26113419235, 2062791.8008856028 207065.85501085222))
14;426;Oklahoma City;POLYGON ((2121667.0000641048 148296.92989802361, 2121710.43993786 145657.84003184736, 2124372.8401248604 145673.83999985456, 2124377.2800766081 148263.78987243772, 2122420.3601059467 148251.61994926631, 2122420.0500671864 148301.61000676453, 2121667.0000641048 148296.92989802361))
15;123;Little Axe;POLYGON ((2195475.8229186088 124996.22584335506, 2195474.8330911994 109180.36607094109, 2195479.2340010256 94073.7440532744, 2195479.2340010256 77642.4678607732, 2203862.1211066097 77637.043987110257, 2209165.1980988532 77625.711988776922, 2211840.5241130292 77626.56402118504, 2211841.3738488555 74970.188100352883, 2211708.254036352 74967.810152351856, 2211732.8009032756 61834.300986349583, 2224759.3621204495 61833.963060513139, 2224742.7430591881 68522.407032683492, 2226172.0039801896 68525.069100856781, 2226172.0039801896 69829.236111938953, 2224711.3031614423 69829.5691165179, 2224711.3031614423 75024.280839934945, 2224686.6831319481 82976.3761561811, 2227527.8880794495 82967.645858690143, 2227527.8880794495 85631.158904358745, 2224600.5149971992 85635.280943349, 2224547.1699595302 111872.90989843011, 2222734.2651207745 111870.32788260281, 2217425.5431266874 111852.35514952242, 2208775.8501242697 111811.99007277191, 2208818.7601434439 109167.81983618438, 2203536.7999068648 109176.8001331836, 2203459.539890781 117088.09992735088, 2200821.2600623518 117099.38008852303, 2200780.8999068588 119740.54016052186, 2198142.2001317739 119743.40006293356, 2198067.1750193536 124998.68384368718, 2195475.8229186088 124996.22584335506))
