Object_ID;School_Name;shape
60;QUAIL CREEK ES;POLYGON ((2095805.5399761051 215126.5101493597, 2095760.5098824352 214825.72006851435, 2095752.1900171936 214662.97006593645, 2095762.3799574375 214512.91984109581, 2095775.0000109375 214409.48008735478, 2095787.7499854416 214348.15015752614, 2095791.6400695294 214340.18002910912, 2095797.62004444 214335.49992035329, 2095804.9799378663 214333.68004210293, 2095814.160037607 214335.8401427716, 2095867.5500226915 214348.99989335239, 2095997.9398537725 214360.20984469354, 2096158.5300837755 214351.8801369369, 2096225.290120855 214354.84010477364, 2096222.1700483561 214471.76998901367, 2096219.5001061857 214572.04997219145, 2096216.8301640302 214672.24990302324, 2096215.0798394382 214737.9899290204, 2096217.9000437707 214790.37991610169, 2096223.1700463593 214888.32000893354, 2096225.8301460296 214937.85993610322, 2096238.5400943607 215000.13999527693, 2096254.7900618613 215079.75991477072, 2096221.4499054402 215086.9698740989, 2096038.8298638612 215126.4399395138, 2096018.4601539373 215130.83986510336, 2095953.1400746107 215129.51014335454, 2095805.5399761051 215126.5101493597))
61;KING'S GATE CHRISTIAN SCHOOL;POLYGON ((2092423.9801381975 213132.91997644305, 2092222.5100686848 213699.78006318212, 2092104.869884029 214089.27994035184, 2091916.9099581093 214087.73007468879, 2091923.4299581945 212877.53990976512, 2092423.9801381975 213132.91997644305))
62;WILEY POST ES;POLYGON ((2077030.8698483557 206049.90002177656, 2077040.670025602 205468.329990685, 2077041.2901031077 205434.77001844347, 2077521.8399950266 205436.95013219118, 2077558.1000931114 205441.51016244292, 2077587.749968186 205448.76999042928, 2077608.6101626903 205459.37003485858, 2077634.5799270272 205475.72006776929, 2077658.7101281136 205494.68000359833, 2077674.5401489437 205509.61993435025, 2077691.7901144475 205533.15991352499, 2077703.8101035208 205559.73007035255, 2077710.0699335188 205588.18998718262, 2077709.7398816943 206103.89007127285, 2077030.1398629397 206100.6600908488, 2077030.8698483557 206049.90002177656))
63;HEFNER MS;POLYGON ((2081911.0598911047 202543.1501455158, 2081950.84983778 202563.53986851871, 2082016.8100076914 202597.31998468935, 2082076.8600844443 202628.27005401254, 2082136.7198728621 202659.47996535897, 2082196.66988419 202690.74007344246, 2082259.0798643529 202723.28003460169, 2082322.470157519 202756.25011302531, 2082384.9998881072 202788.66015318036, 2082455.5899700224 202825.24997502565, 2082464.6099651158 202829.91991318762, 2082463.9101633579 202954.339939937, 2082463.5801115185 203055.26001368463, 2082463.7300456017 203136.95013901591, 2082463.8701371849 203214.92996993661, 2082464.040084362 203307.79002043605, 2082463.3901512772 203357.86013026536, 2082461.7799182683 203477.77983793616, 2082454.520090282 203477.81986410916, 2082389.3899711967 203478.20011268556, 2082325.0800604373 203478.56986260414, 2082260.4601109475 203478.78016401827, 2082199.2299184352 203478.78016401827, 2082197.7299214453 203478.78016401827, 2082196.2299244404 203478.78016401827, 2082130.7799241096 203478.78016401827, 2082129.2799271047 203478.78016401827, 2082127.7799301147 203478.78016401827, 2082066.8499338627 203478.78016401827, 2082065.3499368578 203478.78016401827, 2082063.849939853 203478.78016401827, 2082001.6899591982 203478.78016401827, 2082000.1899621934 203478.78016401827, 2081998.6899651885 203478.78016401827, 2081936.3298536986 203478.78016401827, 2081934.8298566937 203478.78016401827, 2081933.3298596889 203478.78016401827, 2081874.3601613641 203478.78016401827, 2081872.8598362803 203478.78016401827, 2081871.3598392755 203478.78016401827, 2081802.8101076037 203478.78016401827, 2081739.2498672754 203478.64007243514, 2081673.8398931026 203477.95995569229, 2081609.7199426144 203477.2900095135, 2081544.1698768586 203476.60989277065, 2081473.7799257785 203475.7201307714, 2081393.2298900187 203474.29985801876, 2081392.5701144487 202771.06012277305, 2081518.1800994426 202772.06996327639, 2081568.1501438618 202772.46989685297, 2081631.8199640214 202729.42995668948, 2081700.3998793662 202683.07014127076, 2081762.800017029 202641.18997567892, 2081825.3799443543 202599.50009843707, 2081887.6501610279 202558.01002393663, 2081911.0598911047 202543.1501455158))
64;TRINITY SCHOOL;POLYGON ((2119697.140158698 211539.05013269186, 2119040.6401593536 211540.62001143396, 2119045.670004949 211217.59998819232, 2119045.690018028 211216.34014818072, 2119050.2300351858 210887.93988634646, 2119704.4898815304 210894.51992568374, 2119697.140158698 211539.05013269186))
65;CRESCENT ACADEMY;POLYGON ((2102194.6298881918 208856.83994594216, 2102496.64995344 208856.64998568594, 2102494.8399176896 209338.8501367718, 2102104.0598593652 209334.33997519314, 2102103.7750830203 209332.91609351337, 2102103.5080231875 209331.48794676363, 2102103.2619606853 209330.0558630228, 2102103.03787978 209328.61984227598, 2102102.8361085206 209327.18086877465, 2102102.6550065279 209325.73894251883, 2102102.4958861023 209324.29504777491, 2102102.3590753525 209322.84885643423, 2102102.2429338545 209321.40004043281, 2102102.1500862688 209319.94991210103, 2102106.5700249374 208856.89014267921, 2102132.6998939365 208856.87012960017, 2102194.6298881918 208856.83994594216))
66;RIDGEVIEW ES;POLYGON ((2100162.0499638617 208295.97984719276, 2100172.46989052 208307.55987651646, 2100218.6200606972 208358.83995768428, 2100254.2800943553 208398.47997027636, 2100351.5200573653 208318.5700251013, 2100382.5199953616 208354.98989976943, 2100287.5900671035 208435.49006685615, 2100286.49984619 208434.32012169063, 2100286.49000369 208436.42313584685, 2100285.499848187 208591.47006985545, 2100284.5799025297 208735.64005710185, 2100283.8400746137 208852.77991469204, 2099962.5700478554 208853.92000426352, 2099619.119947359 208855.140146181, 2099625.40996103 208297.61993576586, 2099684.5400921106 208297.4401461035, 2099747.3500058651 208297.24985776842, 2099806.7800051123 208297.07006810606, 2099865.2100063562 208296.88995034993, 2099927.4198556989 208296.69999010861, 2099984.2199389488 208296.51987235248, 2100045.8398944438 208296.34008269012, 2100105.8499450237 208296.1501224339, 2100162.0499638617 208295.97984719276))
67;ST. EUGENE CATHOLIC SCHOOL;POLYGON ((2100519.1201158613 211442.21994577348, 2099856.0600902736 211442.17991960049, 2099856.5400761962 211379.24992735684, 2099857.0098915249 211319.02006094158, 2099857.5000480264 211254.98016276956, 2099857.9698633552 211193.14006336033, 2099858.4101511985 211136.69988751411, 2099858.8999796063 211072.67015993595, 2099859.3501099497 211013.64993676543, 2099859.3701230288 210938.40008726716, 2099859.8399383575 210892.03994376957, 2099860.239871949 210828.31992685795, 2100521.7500318587 210819.56994435191, 2100519.1201158613 211442.21994577348))
68;CHISHOLM ES;POLYGON ((2131451.5398781896 226827.95000101626, 2131635.9200868607 226829.6901550144, 2131678.7100275308 226829.95983952284, 2131818.060142532 226830.17014093697, 2131906.6498603523 226830.30990444124, 2132012.9199890196 226830.78004784882, 2132116.98014836 226831.22985009849, 2132116.1999661922 226887.25007927418, 2132115.0598766059 226968.37983827293, 2132113.9201151133 227050.12016035616, 2132112.820051685 227128.87000285089, 2132111.7101457715 227208.21006727219, 2132110.7898720205 227293.91986960173, 2132109.2698619366 227435.24012501538, 2132108.4900078624 227447.78012618423, 2131452.5900729448 227443.8001472652, 2131451.990008533 227249.68997119367, 2131451.5700618625 227079.6899830997, 2131451.5500487685 226898.50989927351, 2131451.5398781896 226827.95000101626))
69;HARVEST CHRISTIAN SCHOOL;POLYGON ((2130235.1000538617 197410.66992492974, 2130518.9600504488 198043.35993252695, 2130631.5500483662 198284.20984451473, 2130733.0199897736 198512.75991235673, 2130050.9301466048 198499.2300837636, 2130026.2599203587 198382.10991118848, 2129999.9499336034 198293.9998511821, 2129977.1799660325 198246.05998644233, 2129947.9900637716 198191.52006927133, 2129938.5399514437 198177.33997951448, 2129867.0299238563 198039.08992794156, 2129806.7600312829 197914.5898488462, 2129547.4698674381 197395.52986335754, 2130235.1000538617 197410.66992492974))
70;CENTRAL SEVENTH-DAY ADVENTIST;POLYGON ((2085534.5598619431 195698.549989596, 2085532.3000239432 195799.0599591881, 2085529.3200430274 195931.08987885714, 2085527.7301511914 196001.76985560358, 2085525.9499710202 196081.06005135179, 2085524.2698562741 196155.34008651972, 2085522.4900041968 196234.41013835371, 2085520.8299025297 196308.22003009915, 2085500.7899163663 196308.24988569319, 2085422.210021019 196308.34010860324, 2085347.4499999434 196308.43984593451, 2085274.8799351156 196308.53991135955, 2085222.989947021 196308.61012119055, 2085182.9099746943 196308.65998984873, 2085183.5398946851 196267.35003310442, 2085184.1101035327 196230.00004218519, 2085185.2298519462 196156.74986059964, 2085186.2600336075 196089.45012643933, 2085186.9700059444 196010.39090135694, 2085188.5999239385 195936.91991968453, 2085189.8000527769 195858.05984118581, 2085190.4391591102 195784.14102576673, 2085191.7698651105 195697.45484744012, 2085534.5598619431 195698.549989596))
71;TULAKES ES;POLYGON ((2079203.1801362783 196803.78006260097, 2078934.8299511969 197063.48984502256, 2078370.9400028586 196757.87004943192, 2078213.6299500316 196692.71007476747, 2078142.9201176912 196601.359863773, 2078259.3798585236 196506.48013226688, 2078291.9500033557 196472.18984651566, 2078320.7399720252 196434.6899215132, 2078333.8298408538 196414.52985684574, 2078345.3698440194 196392.29991443455, 2078354.5299306959 196368.98007918894, 2078361.2500616163 196344.5099837631, 2078364.5499237776 196323.78988085687, 2078365.66015777 196302.8401196003, 2078364.5801074356 196290.74992068112, 2078501.6999119371 196291.34014260769, 2078601.7098825276 196291.82012851536, 2078760.3299721032 196293.34998109937, 2078907.2000851929 196294.95004351437, 2078906.8700333536 196319.72984960675, 2078905.7499568611 196402.18998652697, 2078904.7601294369 196475.7698918581, 2078903.6699085236 196556.19984909892, 2078903.289988026 196584.58988419175, 2078907.4199010283 196609.53012302518, 2078914.1400319487 196633.91983802617, 2078928.9700547755 196668.23997935653, 2078946.3400987685 196697.42003910244, 2078962.519856438 196717.62997244298, 2078980.719951272 196736.06989619136, 2079000.7399243563 196752.49998143315, 2079015.2300528586 196762.03998860717, 2079042.0600516945 196777.14986652136, 2079084.4900849462 196790.82011477649, 2079108.5799317807 196795.34011885524, 2079146.9601043612 196802.53006510437, 2079203.1801362783 196803.78006260097))
72;LAKE PARK ES;POLYGON ((2069432.42015028 182850.70002917945, 2069433.5599117726 182698.26988784969, 2069434.1301206052 182622.14996135235, 2069434.67998828 182548.63993777335, 2069435.2298559397 182474.08989001811, 2069435.8899596035 182385.61008010805, 2069719.5199697763 182388.92995534837, 2070043.7401218563 182396.01983618736, 2070054.4500741959 182399.11005310714, 2070061.0301135182 182405.1900934428, 2070064.5399490297 182413.36002460122, 2070063.8798453659 182424.11984559894, 2070061.6498629451 182828.01995643973, 2070062.490084365 182838.32013268769, 2070057.5599761158 182850.13999094069, 2070047.2899835259 182857.90014602244, 2070034.4301011115 182859.51005093753, 2069432.42015028 182850.70002917945))
73;PUTNAM CITY ACADEMY;POLYGON ((2072224.2498684376 179418.70000343025, 2072328.3198702782 179420.49986860156, 2072321.3999366015 179698.47011318803, 2072218.5500766933 179697.0301554352, 2072224.2498684376 179418.70000343025))
74;WESTERN OAKS ES;POLYGON ((2075344.3600980192 179275.90993468463, 2075334.3499474376 179740.84010718763, 2075053.9000490308 179737.20002260804, 2075066.0299460292 179321.77992168069, 2075100.5098639429 179320.4400293529, 2075136.08984527 179326.39999118447, 2075149.4300416857 179327.5200676918, 2075160.1199809462 179325.89999218285, 2075170.2298688591 179322.0801179409, 2075179.3000606894 179316.25007709861, 2075188.3098851889 179307.67004176974, 2075192.9601383656 179300.15988618135, 2075197.119906947 179283.15007768571, 2075197.3400508612 179275.51000110805, 2075344.3600980192 179275.90993468463))
75;WINDS WEST ES;POLYGON ((2069641.7064771056 154650.40111494064, 2069809.9400645196 154649.24002802372, 2069813.5201098621 155027.79012393951, 2069815.9200394452 155280.12984235585, 2069293.6300735325 155288.57011418045, 2069298.9200891852 154993.32989102602, 2069302.966669023 154691.84164884686, 2069308.426631853 154653.85156735778, 2069641.7064771056 154650.40111494064))
76;METRO TECH AVIATION CAREER CAMPUS;POLYGON ((2084743.5201054364 148121.63005177677, 2084740.6100062728 148434.48014785349, 2084739.2399302721 149033.70992052555, 2084738.2501028627 149443.88987444341, 2084198.9798559397 149440.19992119074, 2083548.710159108 149434.77998451889, 2082710.6301423609 149429.82002069056, 2082134.8999946117 149423.77016401291, 2082133.0000640303 148942.59986652434, 2082130.9000026137 148464.71007427573, 2082130.7198848575 148105.21013709903, 2084743.5201054364 148121.63005177677))
77;ROOSEVELT MS;POLYGON ((2096344.8699341863 153456.80015568435, 2096338.5500649363 154083.79988594353, 2096316.2899388522 154083.7300041914, 2096256.0800855309 154083.56005701423, 2096195.8699041158 154083.379939273, 2096135.6600507796 154083.20999209583, 2096075.4600399435 154083.04004493356, 2096015.2400160283 154082.85992719233, 2095955.0301626921 154082.68013751507, 2095894.819981277 154082.48984917998, 2095834.6101279408 154082.29988893867, 2095774.4101171046 154082.1200992763, 2095714.1999356896 154081.93013902009, 2095653.9900823534 154081.739850685, 2095593.7799009383 154081.56006102264, 2095533.5798901021 154081.37010076642, 2095468.7099411041 154081.16996993124, 2095405.2300811857 154080.96983909607, 2095334.2200526148 154080.75002327561, 2095339.9798836112 153454.41006860137, 2096344.8699341863 153456.80015568435))
79;CENTRAL OAK ES;POLYGON ((2124269.2839015275 164561.87505835295, 2123667.5613516867 164551.54404227436, 2123668.100064531 164199.46010077, 2124267.7944031954 164202.3551080972, 2124269.2839015275 164561.87505835295))
82;SCHWARTZ ES;POLYGON ((2171921.5931242704 132920.51511284709, 2172601.4700453579 132905.32190176845, 2172586.2771623582 133330.72000110149, 2171913.9970108569 133344.01295351982, 2171921.5931242704 133306.03205835819, 2171921.5931242704 132920.51511284709))
83;CROOKED OAK MS;POLYGON ((2123320.5912451148 164555.04305101931, 2123321.719851777 164197.44009168446, 2123668.100064531 164199.46010077, 2123667.5613516867 164551.54404227436, 2123320.5912451148 164555.04305101931))
84;CROOKED OAK HS;POLYGON ((2124269.6638220251 165144.50545476377, 2123320.9646039456 165159.57563459873, 2123320.5912451148 164555.04305101931, 2123667.5613516867 164551.54404227436, 2124270.6798961163 164562.48988652229, 2124269.6638220251 165144.50545476377))
85;WHEELER COMMUNITY LEARNING CTR;POLYGON ((2116683.3400839418 160380.05008868873, 2116683.5198736042 160684.93005634844, 2116868.520159781 160688.26010218263, 2116863.7698411942 161065.21997818351, 2116431.0800897777 161058.78003042936, 2116427.8399387747 160375.16000659764, 2116683.3400839418 160380.05008868873))
86;HERONVILLE ES;POLYGON ((2105842.1301391125 158433.71999184787, 2106462.7699739486 158443.26984152198, 2106461.510133937 158579.40998919308, 2106462.3100011051 158731.59013101459, 2105842.4300072789 158725.0199341923, 2105842.3699680269 158569.6600086838, 2105842.1301391125 158433.71999184787))
87;ST. JAMES CATHOLIC SCHOOL;POLYGON ((2105932.4698534459 153934.81986893713, 2105992.0901410282 153935.0600259304, 2106051.6999299377 153935.29985485971, 2106111.310046941 153935.54001185298, 2106170.9201639444 153935.79001134634, 2106230.5299528539 153936.02984027565, 2106290.1499123573 153936.26999726892, 2106349.7698718607 153936.51015426219, 2106409.390159443 153936.76015377045, 2106469.0301320255 153936.99998268485, 2106467.4418806136 154310.62193885446, 2106467.2889937758 154312.30008509755, 2106467.017996937 154313.9621552676, 2106466.626921609 154315.60093152523, 2106466.1210171133 154317.20788368583, 2106465.5019238591 154318.7741535157, 2106464.7719384432 154320.29186701775, 2106463.9349978566 154321.75413443148, 2106462.9960233569 154323.15308177471, 2106461.9589519352 154324.48116309941, 2106460.8300171942 154325.731160596, 2106459.615124613 154326.89684069157, 2106458.3188673556 154327.9739382714, 2106456.9501036853 154328.9549074322, 2106455.5140829384 154329.83613927662, 2106454.0190071911 154330.61205635965, 2106452.4720942825 154331.27904976904, 2106450.8818743527 154331.83383868635, 2106449.2558933645 154332.27412651479, 2106447.6020252705 154332.59696051478, 2106445.9301126152 154332.80004410446, 2105892.2511018664 154329.88010244071, 2105890.6320106089 154329.63994543254, 2105889.0339166969 154329.28889626265, 2105887.46403794 154328.82695493102, 2105885.9289360195 154328.25904268026, 2105884.438125357 154327.58515952528, 2105882.9958710223 154326.80989859998, 2105881.6120155305 154325.93686884642, 2105880.2921362817 154324.97000727057, 2105879.0411545187 154323.91390702128, 2105877.8669442683 154322.77414551377, 2105876.7740986943 154321.5559720993, 2105875.7688513547 154320.26496419311, 2105874.8551392704 154318.90702727437, 2105874.0378836989 154317.48905110359, 2105873.320037365 154316.01792544127, 2105872.7058653533 154314.50086809695, 2105872.1979923546 154312.9460811913, 2105871.800027281 154311.35914210975, 2105871.3351331949 154309.61997234821, 2105871.3400544375 154308.11997535825, 2105872.4601309448 153934.56986942887, 2105932.4698534459 153934.81986893713))
88;RANCHO VILLAGE ES;POLYGON ((2104531.0100579411 155097.22010318935, 2104588.8800209463 155043.02008035779, 2104992.1800673604 155450.86014392972, 2104987.9789602757 155454.4700448513, 2104983.7460291088 155458.04287235439, 2104979.4809457809 155461.57600176334, 2104975.1820698529 155465.0691050142, 2104970.8520260304 155468.5218540132, 2104966.4888457805 155471.93490493298, 2104962.0951537788 155475.30694544315, 2104957.6689815223 155478.63797551394, 2104953.2129536867 155481.92701093853, 2104948.727070272 155485.17503593862, 2104944.2100189477 155488.38205051422, 2104939.6631120294 155491.54510194063, 2104935.0879899412 155494.66714294255, 2104930.4839965254 155497.74489268661, 2104925.8501475304 155500.78097584844, 2104921.1890676022 155503.77309584618, 2104916.5010848641 155506.72190885246, 2104911.7848869413 155509.62708677351, 2104907.0421142727 155512.48797343671, 2104902.2730949372 155515.30489693582, 2104897.6979728639 155518.05390718579, 2104893.0998849422 155520.76289126277, 2104888.4791592807 155523.43316152692, 2104883.8341554403 155526.0630775243, 2104879.1668419391 155528.6519830972, 2104874.4778749496 155531.20086252689, 2104869.7669263631 155533.70905959606, 2104865.0349804461 155536.17591819167, 2104860.281052947 155538.60307869315, 2104855.5061281025 155540.98791643977, 2104850.710862115 155543.33108760417, 2104845.8959111124 155545.6339045167, 2104841.0609470308 155547.8940705955, 2104836.2069541067 155550.11289818585, 2104831.333932355 155552.28907494247, 2104826.4428660274 155554.42391318083, 2104821.5321146995 155556.51610060036, 2104816.6039749384 155558.56498101354, 2104811.6591029465 155560.57186676562, 2104806.69585827 155562.53610168397, 2104803.0669285208 155563.83990485966, 2104799.4120801985 155565.07284201682, 2104795.7349221855 155566.23688168824, 2104792.0361106992 155567.32907110453, 2104788.3159737736 155568.35006643832, 2104784.5781203657 155569.29986768961, 2104780.8218942732 155570.17716251314, 2104777.0499201864 155570.9819509387, 2104773.2638385296 155571.71390485764, 2104769.4639773518 155572.37400852144, 2104765.6519771069 155572.95996534824, 2104761.8291501105 155573.47308768332, 2104757.9971367717 155573.9130474329, 2104754.1569213569 155574.27886034548, 2104750.3111285269 155574.57085451484, 2104746.4610706121 155574.78902994096, 2104742.6070756912 155574.93305851519, 2104738.7501280308 155575.00195601583, 2104734.8928522766 155574.99801902473, 2104731.0368888527 155574.91993518174, 2104560.6199068576 155572.06987527013, 2104238.480131194 155571.18995577097, 2104245.3600386977 155524.94989076257, 2104246.3570839465 155520.99714277685, 2104247.3780792803 155517.04701943696, 2104248.4210561961 155513.10312968493, 2104249.486014694 155509.16514544189, 2104250.5739390254 155505.23306669295, 2104251.6851572692 155501.3078776896, 2104252.8180290312 155497.38892227411, 2104253.9738666117 155493.47685660422, 2104255.1520138532 155489.57102452219, 2104256.3531269431 155485.67306643724, 2104257.5758935213 155481.7810138464, 2104258.8209697753 155477.89585101604, 2104260.0890118629 155474.01790602505, 2104261.3790355325 155470.14816311002, 2104262.6910407692 155466.28498184681, 2104264.0250276029 155462.43000268936, 2104265.38198027 155458.5828975141, 2104266.7599302828 155454.74301019311, 2104268.1608461142 155450.9119811058, 2104269.5830873549 155447.08784176409, 2104271.3219290227 155443.13509376347, 2104273.0709412694 155439.18497043848, 2104274.83012411 155435.24108068645, 2104276.5978371054 155431.30014368892, 2104278.3760487735 155427.36314368248, 2104280.1641029418 155423.43106493354, 2104281.9610153586 155419.50390744209, 2104283.7680983543 155415.58101502061, 2104285.5850238651 155411.66205960512, 2104287.4111356884 155407.74802543223, 2104289.2470900267 155403.83891251683, 2104291.0919026136 155399.9330804348, 2104292.9468857795 155396.03315384686, 2104294.8110552728 155392.13683618605, 2104296.6850672811 155388.24511168897, 2104298.5689217746 155384.35798035562, 2104300.4619626105 155380.47609835863, 2104302.3648459464 155376.59913760424, 2104304.27691561 155372.72611385584, 2104306.1991558522 155368.85702709854, 2104309.0951474458 155364.31307293475, 2104312.0049185306 155359.77699276805, 2104314.9281410277 155355.25009892881, 2104317.8641587794 155350.73107910156, 2104320.8129717708 155346.22091752291, 2104323.775892362 155341.71994227171, 2104326.7509520203 155337.2268410176, 2104329.7391350269 155332.74194185436, 2104332.7410975248 155328.2668851912, 2104335.7548710257 155323.800030604, 2104338.7830801904 155319.3420342654, 2104341.8231003582 155314.89289619029, 2104344.8759157807 155310.45196019113, 2104347.9418545216 155306.01988244057, 2104351.020916611 155301.59797526896, 2104354.1131020188 155297.18394210935, 2104357.2180826962 155292.78007951379, 2104360.3348743618 155288.38409093022, 2104363.4651174396 155283.99794484675, 2104366.6081557721 155279.62000085413, 2104369.1140562743 155276.57505942881, 2104371.618972525 155273.52913376689, 2104374.1238887757 155270.4818957746, 2104376.6291331053 155267.43597009778, 2104379.1330651045 155264.38906018436, 2104381.6369971037 155261.34313452244, 2104384.1409291029 155258.29491226375, 2104386.6438768655 155255.24800235033, 2104389.1471526921 155252.20109243691, 2104391.65010044 155249.15287019312, 2104394.1530481875 155246.1039917767, 2104396.6550116986 155243.05609759688, 2104399.1569751948 155240.0068911016, 2104401.6579544395 155236.95801268518, 2104404.1599179357 155233.90913426876, 2104406.6599129438 155230.85894352198, 2104409.1608921885 155227.81006510556, 2104411.6608871967 155224.75987435877, 2104414.16088219 155221.70902743936, 2104416.6598929465 155218.66014902294, 2104457.019064188 155173.76096060872, 2104460.7159071863 155169.93190002441, 2104464.41406253 155166.10415177047, 2104468.1109055281 155162.27509118617, 2104471.8100451082 155158.44603060186, 2104475.507872358 155154.61795426905, 2104479.2060276866 155150.78987793624, 2104482.9048391879 155146.9621296823, 2104486.6039787829 155143.135037601, 2104490.303118363 155139.30696126819, 2104494.0019298643 155135.47986918688, 2104497.7010694444 155131.65310518444, 2104501.4008651972 155127.82601310313, 2104505.1009890288 155123.99990527332, 2104508.8011128604 155120.17314127088, 2104512.5009086132 155116.34703344107, 2104516.2020166963 155112.52092559636, 2104519.9031247795 155108.69514586031, 2104523.6039047688 155104.8690380156, 2104527.305012852 155101.04391443729, 2104531.0100579411 155097.22010318935))
89;METRO TECH SOUTH BRYANT CAMPUS;POLYGON ((2128404.9101446867 152307.80015709996, 2128410.83008036 151117.98987267911, 2128390.3199507743 150984.45011352003, 2129623.7098724395 150988.78999985754, 2129614.0999835283 152301.28015701473, 2129598.6800668538 152301.39990743995, 2129448.5100916028 152302.20994518697, 2129370.8301288635 152302.62004935741, 2129276.289963603 152303.12004835904, 2129184.9499231875 152303.62004734576, 2129081.3500647694 152304.16991502047, 2129016.7901545316 152304.51997993886, 2128959.8801633567 152304.83001868427, 2128898.5400629491 152305.14989992976, 2128842.2199656069 152305.45009618998, 2128779.68990694 152305.78999051452, 2128720.509907186 152306.10987177491, 2128661.7498541027 152306.43008109927, 2128601.3700536042 152306.74996235967, 2128541.6300156116 152307.06984360516, 2128480.8200978637 152307.39005292952, 2128404.9101446867 152307.80015709996))
90;SOUTHERN HILLS ES;POLYGON ((2105674.9500272721 141272.9898776859, 2105691.2298503518 141340.53993943334, 2105701.9601438642 141385.0798766017, 2105702.5900638551 141441.77005194128, 2105703.1501021087 141505.86998935044, 2105703.7498384416 141574.17004960775, 2105704.3000341952 141637.04984509945, 2105704.8699149489 141705.24983993173, 2105645.9199016094 141705.76000951231, 2105589.9498691857 141706.23015293479, 2105534.3600853533 141706.71013885736, 2105480.41990453 141707.0900593549, 2105428.5499295294 141689.61994993687, 2105378.8699107766 141673.11998294294, 2105328.8998663574 141656.53012110293, 2105277.4898641855 141639.45994527638, 2105227.8898977786 141622.91010960937, 2105180.3699796945 141596.85996484756, 2105132.9599695206 141570.96008226275, 2105079.5201157779 141541.7600094378, 2105024.300081864 141644.64989551902, 2104951.9501609355 141611.520040527, 2104893.7399755269 141589.31011117995, 2104834.3299893588 141570.46992577612, 2104773.9400182813 141555.05985160172, 2104745.210088864 141528.09993177652, 2104787.850095436 141254.10999418795, 2104799.3999411017 141211.46998760104, 2104812.0101521015 141180.82011452317, 2104833.8099772781 141142.37006019056, 2104853.8499634415 141115.58993001282, 2104948.8300884366 140982.43009135127, 2104985.8198438585 140977.43994385004, 2105341.3499726951 141229.52014835179, 2105386.6599214375 141251.73992018402, 2105424.259911865 141265.69002352655, 2105462.9501231909 141276.239871189, 2105502.4300311059 141283.319909513, 2105542.3899249434 141286.8700992763, 2105582.5000809431 141286.8399156034, 2105635.6899351925 141281.27988734841, 2105674.9500272721 141272.9898776859))
91;MONRONEY MS;POLYGON ((2149695.9600821882 169181.43996618688, 2149698.6700505316 169463.33015044034, 2148885.7901146114 169463.21007193625, 2148886.4200346023 169447.27998568118, 2148877.4800918549 169447.25013010204, 2148876.8498437703 169355.62006402016, 2148876.3400022686 169281.4299236834, 2148875.7901346087 169201.310005188, 2148874.7100842744 169151.25006593764, 2148874.7701235265 169101.59990276396, 2148874.8600183576 169031.85004226863, 2148852.1701031029 168941.55002601445, 2148833.2298522741 168895.5999866873, 2148809.8801614493 168839.04006043077, 2148785.3900529444 168779.67994293571, 2148762.6099147797 168724.49993517995, 2148740.8901419491 168671.87996168435, 2148722.5601261109 168625.94009293616, 2148697.4000714421 168564.53995327652, 2148678.269860357 168517.85008601844, 2148653.4300150275 168457.25998410583, 2148631.2000726163 168403.01009260118, 2148612.4799656868 168355.85992443562, 2148590.1299447715 168300.34986485541, 2148576.7799058557 168267.17998369038, 2148643.0901406854 168290.78000210226, 2148705.7701334357 168313.08015435934, 2148765.5800531954 168334.35996744037, 2148821.8000851125 168354.54988768697, 2148889.3101206869 168378.83986535668, 2148955.070159778 168402.4999230206, 2149019.5099915266 168425.67999477684, 2149080.2598700225 168447.19996485114, 2149141.3299578577 168468.3800406009, 2149207.969916448 168491.48990252614, 2149255.41011028 168506.6001085192, 2149511.8298730254 168588.24987959862, 2149688.5401495248 168642.52011227608, 2149691.0900131911 168675.79990135133, 2149695.9600821882 169181.43996618688))
92;MID-DEL CHRISTIAN SCHOOL;POLYGON ((2132932.988686949 159555.40508443117, 2132930.6786521971 159901.85517893732, 2132266.3391016126 159900.9952725172, 2132281.0894001871 159557.51531644166, 2132273.7698610276 159297.8754157722, 2132638.4190661162 159296.4751560986, 2132640.8396649361 158936.19536484778, 2132936.4689949453 158937.79509918392, 2132932.988686949 159555.40508443117))
93;OAKRIDGE ES;POLYGON ((2131760.5599294454 154164.57006560266, 2132304.3898785263 154167.40011243522, 2132305.8600199372 154243.73985476792, 2132307.5998458564 154334.59006677568, 2132308.7399354428 154394.60011735559, 2132309.8898675293 154454.60983985662, 2132311.0401276946 154514.61989043653, 2132312.5801508576 154595.08003135026, 2131895.1200277805 154595.68009577692, 2131814.90988636 154583.16010768712, 2131721.0498378575 154550.35997644067, 2131705.6299211979 154514.00014102459, 2131785.9899966866 154297.26993143559, 2131787.059876442 154279.10002027452, 2131760.5599294454 154164.57006560266))
