Object_ID;School_Name;shape
13;BRIARWOOD ES;POLYGON ((2111878.439916864 117677.39992985129, 2111853.4399668574 117677.3900873512, 2111784.6901043653 117677.25983826816, 2111726.8998656124 117677.14993035793, 2111670.1201235205 117677.02985185385, 2111613.3298827708 117676.91994394362, 2111556.5501406938 117676.79986543953, 2111499.7598999441 117676.68995751441, 2111444.9401276857 117676.56987902522, 2111390.8900389373 117676.45997110009, 2111393.1899031103 117421.76986368, 2111398.559971109 116767.11992627382, 2111878.6098640263 116769.94997310638, 2111878.439916864 117659.12995326519, 2111878.439916864 117677.39992985129))
14;SOUTHWEST COVENANT SCHOOL;POLYGON ((2051795.5000436157 178394.35986052454, 2051758.0700003654 179679.43996751308, 2050522.8998985291 179673.20015060902, 2050510.4301071912 178962.04015560448, 2051040.669860363 178388.12004360557, 2051795.5000436157 178394.35986052454))
15;SURREY HILLS ES;POLYGON ((2051172.2001091093 211061.76007677615, 2050762.3098527789 210821.67000576854, 2050756.7501526028 210817.25006709993, 2050753.5198441148 210812.98990501463, 2050751.2698486149 210808.13984909654, 2050750.0999034494 210802.92988577485, 2050750.0700478554 210797.580158934, 2050751.1701112688 210792.3498544395, 2050753.3699100316 210787.46994294226, 2050756.07003586 210782.84003093839, 2050758.7501486093 210778.21011893451, 2050761.4200907797 210773.55986577272, 2050764.0700198561 210768.9099406898, 2050766.7101064473 210764.24984501302, 2050769.3298518658 210759.57990685105, 2050771.940082863 210754.900126189, 2050774.5299726874 210750.20984685421, 2050777.0998494476 210745.5100530982, 2050779.6598836929 210740.80993126333, 2050782.210075438 210736.09012444317, 2050784.7300835252 210731.36998951435, 2050787.2500916123 210726.64001210034, 2050789.7399160266 210721.89986410737, 2050792.2198979408 210717.14987359941, 2050794.6900373548 210712.39004060626, 2050797.1299931109 210707.62987951934, 2050799.5699488521 210702.85987593234, 2050801.980049029 210698.08002986014, 2050804.3799786121 210693.29001317918, 2050806.770065695 210688.49015401304, 2050809.140139699 210683.68996676803, 2050811.48987253 210678.87009452283, 2050813.819920361 210674.04989418387, 2050816.1401256919 210669.23002193868, 2050818.4501604438 210664.39013659954, 2050820.7300115228 210659.54992318153, 2050823.0000201017 210654.69986726344, 2050825.2598581016 210649.83996886015, 2050827.5000111163 210644.9698998481, 2050829.7201510221 210640.10015892982, 2050831.91994977 210635.21991935372, 2050834.1099060327 210630.32983726263, 2050836.2900197804 210625.42991268635, 2050838.4399498552 210620.52998811007, 2050840.5800374448 210615.61989293993, 2050842.7099544406 210610.69995526969, 2050844.8100158572 210605.76984702051, 2050846.8999066949 210600.84006685019, 2050848.9799550325 210595.90011610091, 2050851.0399902761 210590.95983727276, 2050853.0800124407 210586.01004402339, 2050855.1000215262 210581.05008018017, 2050857.1098600328 210576.07994577289, 2050860.2499456108 210568.26007951796, 2050965.3399585187 210279.92994752526, 2051072.0900731087 210322.65984894335, 2051350.72009328 210434.4801633507, 2051446.3698363602 210593.6799761802, 2051172.2001091093 211061.76007677615))
16;SKYVIEW ES;POLYGON ((2050454.9764779359 182858.94279485941, 2050455.2665036023 182358.94346676767, 2051203.0202574432 182358.81124918163, 2051202.9989320189 182858.94181060791, 2050454.9764779359 182858.94279485941))
17;SHEDECK ES;POLYGON ((2042797.0498646945 175545.79994085431, 2043115.6299361885 175323.76003059745, 2043439.0298799425 175618.20005851984, 2043086.6700203568 175960.91000302136, 2042797.0498646945 175545.79994085431))
18;PARKLAND ES;POLYGON ((2045142.8699761927 177067.41992910206, 2044479.0999782681 177073.3500353545, 2044496.8801264465 176753.30999301374, 2045136.9398699403 176735.5298448503, 2045142.8699761927 177067.41992910206))
20;MUSTANG NORTH MS;POLYGON ((2053797.5029293597 165177.76293419302, 2053142.5301579386 165184.44992868602, 2053178.0901261866 163868.71010610461, 2053812.8736335188 163862.29443651438, 2053809.2866984457 165162.23179726303, 2053797.5029293597 165177.76293419302))
21;MUSTANG VALLEY ES;POLYGON ((2060034.7001006156 158496.10011643171, 2060044.1498848647 158052.1498888582, 2061083.179959029 158014.37010876834, 2061054.8401206881 158505.54990068078, 2060034.7001006156 158496.10011643171))
22;MUSTANG MS;POLYGON ((2047961.2370428592 139188.80474160612, 2047964.9804736972 138414.16947984695, 2048270.0622126162 138501.24279652536, 2048675.973474279 138617.7455162704, 2048777.8187430203 138644.30287785828, 2048844.7503676862 138689.36643601954, 2048904.646245271 138770.09560526907, 2048891.6252739429 138897.6996807754, 2048857.7713390291 138996.65781618655, 2048808.2921072692 139069.57466509938, 2048789.5913572758 139193.97730343044, 2047961.2370428592 139188.80474160612))
23;CANADIAN VALLEY TECHNOLOGY CENTER - BETHANY;POLYGON ((2078800.8200486153 186199.73991902173, 2078800.5598785281 186245.89008918405, 2078800.3298921138 186287.55011084676, 2078800.0100108534 186346.27013777196, 2078799.8499061912 186375.71003952622, 2078758.4500546157 186386.06008443236, 2078759.4198689461 186210.39016018808, 2078800.8200486153 186199.73991902173))
24;HOOVER MS;POLYGON ((2099872.6899782717 214565.15989410877, 2099872.6099259406 214187.11996777356, 2099902.4100631922 214163.93005351722, 2100258.5901251137 214163.76010635495, 2101113.0998990238 214163.35000218451, 2101141.2901313603 214189.7298706919, 2101142.1100116074 214975.629873693, 2101139.9800946116 215123.45011609793, 2101054.2899772823 215123.70995810628, 2100972.0798398554 215123.95995759964, 2100905.2899471968 215124.16008843482, 2100831.2700821161 215124.39007484913, 2100745.4198601097 215124.64991685748, 2100665.4000070244 215124.89007385075, 2100578.7801015228 215125.16008643806, 2100430.9300035238 215125.60988868773, 2100290.4801531881 215126.04000593722, 2100202.4199618548 215126.31001852453, 2100116.5900810212 215126.56986051798, 2100038.129936114 215126.79984693229, 2099958.2800301909 215127.04984644055, 2099872.5400441885 215127.31001651287, 2099872.6899782717 214565.15989410877))
25;WESTERN VILLAGE ACADEMY;POLYGON ((2105189.9798686057 211023.68994294107, 2104825.5301381946 211026.20995101333, 2104831.0898383558 210153.96005509794, 2105032.2098429352 210152.6099921912, 2105095.4698870182 210152.19004552066, 2105196.4798556119 210151.50992876291, 2105196.1399612725 210196.74015326798, 2105195.6101066917 210267.53003793955, 2105195.2200156152 210320.33012919128, 2105194.8099114448 210375.51013693213, 2105194.4201484472 210427.34992827475, 2105193.9900311977 210485.58012676239, 2105193.5700845271 210542.37003943324, 2105193.1799934357 210594.22000135481, 2105192.7298631072 210655.40983960032, 2105192.2698902786 210716.62001901865, 2105191.860114187 210771.84989543259, 2105191.4201544374 210831.64013019204, 2105191.05991894 210878.53012827039, 2105190.6399722695 210935.75015819073, 2105190.189841941 210996.68999694288, 2105189.9798686057 211023.68994294107))
